"Name" -> "Bike_Crashes_from_2005_to_2014"
"ResourceType" -> "DataResource"
"Title" -> "Bike Crashes Champaign-Urbana"
"Description" -> "Features of records of bike crashes in Champaign-Urbana IL from 2005 to 2014"
"Publisher" -> "The Champaign Urbana Urbanized Area Transportation Study (CUUATS) Open Data"
"Source" -> "http://data.cuuats.org/datasets/cb128e58eb85408f9730d509b637b4c7_1"
"Date" -> "2005-2014"
"Keywords" -> "Text, Bike, Crash, Geographical, Champaign, Urbana"
"Categories" -> "Crime and Public Safety"
"ContentLocation" -> "Champaign-Urbana, Illinois"
X,Y,OBJECTID,Injury,Fatality,Year,Weather,Light,RoadSurface,TrafficControl,City,CrashSeverity
-88.238527399294014,40.096679288153879,1,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,A-Injury
-88.365158513114196,40.20114752180266,2,1,0,2013,Clear,Daylight,Wet,No Controls,Unincorporated,B-Injury
-88.190576006193865,40.090697489839506,3,1,0,2013,Rain,Daylight,Wet,Stop Sign/Flasher,Urbana,B-Injury
-88.218277755592453,40.110610679403017,4,1,0,2013,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.287992489450502,40.109328593652116,5,1,0,2013,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.157357292871367,40.308348180261461,6,1,0,2013,Clear,Daylight,Dry,No Controls,Rantoul,B-Injury
-88.277046026522527,40.132227509539725,7,1,0,2013,Clear,Daylight,Dry,Traffic Signal,Champaign,C-Injury
-88.219375803177073,40.115511861008962,8,0,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,Property Damage
-88.241845762257554,40.11634751130287,9,1,0,2013,Clear,Daylight,Dry,No Controls,Champaign,C-Injury
-88.20504591981809,40.114074851751447,10,1,0,2013,Clear,Daylight,Dry,No Controls,Urbana,A-Injury
-88.284775772762003,40.098377506321739,11,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.199435154919769,40.12739752386301,12,1,0,2013,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.209195749029163,40.069127505448307,13,1,0,2013,Clear,Dawn,Dry,Stop Sign/Flasher,Unincorporated,B-Injury
-88.220745523504988,40.116437513054962,14,1,0,2013,Clear,"Darkness, lighted road",Dry,Stop Sign/Flasher,Urbana,B-Injury
-88.208875751180457,40.109227512351687,15,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,B-Injury
-88.243685736294239,40.13260808420565,16,1,0,2013,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.208925753673086,40.111597511913402,17,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,B-Injury
-88.2767357721726,40.111917509232612,18,1,0,2013,Fog/Smoke/Haze,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.235585315425055,40.110276439462247,19,1,0,2013,Clear,Daylight,Dry,No Controls,Champaign,C-Injury
-88.237045779499866,40.109038716643916,20,1,0,2013,Clear,"Darkness, lighted road",Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.217392701578234,40.110631527962937,21,1,0,2013,Clear,Daylight,Dry,No Controls,Urbana,C-Injury
-88.310797991988039,40.113226282034972,22,1,0,2013,Clear,Daylight,Dry,No Controls,Unincorporated,B-Injury
-88.257815767112675,40.114409580279535,23,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.331356595355317,40.12787731950894,24,1,0,2013,Clear,Daylight,Dry,No Controls,Unincorporated,B-Injury
-88.215627848696258,40.116461719855572,25,2,0,2013,Clear,Daylight,Dry,Traffic Signal,Urbana,C-Injury
-88.254215766088265,40.11265751006917,26,1,0,2013,Clear,Daylight,Dry,No Controls,Champaign,C-Injury
-88.220659419726502,40.112984922653055,27,1,0,2013,Clear,Daylight,Dry,No Controls,Urbana,C-Injury
-88.257815807926008,40.115338864510292,28,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.281748511581981,40.098347534318194,29,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.296401208797732,40.083958754276829,30,1,0,2013,Rain,Darkness,Wet,No Controls,Champaign,A-Injury
-88.276515770542275,40.098267506867465,31,1,0,2013,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.262544859137805,39.986392495471065,32,1,0,2013,Clear,"Darkness, lighted road",Dry,Traffic Signal,Tolono,B-Injury
-88.221475755390614,40.105997511671895,33,1,0,2013,NA,"Darkness, lighted road",NA,Stop Sign/Flasher,Urbana,C-Injury
-88.276815772793938,40.116881045796951,34,1,0,2013,Clear,"Darkness, lighted road",Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.238601807022164,40.101477527450562,35,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.238717952517149,40.110373871228717,36,0,0,2013,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,Property Damage
-88.25790576818639,40.121292768250193,37,0,0,2013,Rain,Daylight,Wet,Stop Sign/Flasher,Champaign,Property Damage
-88.208935753199597,40.112447513486316,38,1,0,2013,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.236749760345603,40.116355394386908,39,1,0,2013,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,B-Injury
-88.238720353556445,40.112356582780166,40,1,0,2013,Clear,Daylight,Dry,Other,Champaign,B-Injury
-88.257695766945503,40.103417508708034,41,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.298107481668779,40.097057520328462,42,1,0,2013,Clear,Daylight,Other,Stop Sign/Flasher,Unincorporated,C-Injury
-88.190455650541665,40.083815642580291,43,2,0,2013,Clear,Daylight,Dry,Traffic Signal,Urbana,A-Injury
-88.078945739904611,40.38551756928392,44,1,0,2013,Clear,Daylight,Dry,No Controls,Unincorporated,B-Injury
-88.24353580122937,40.11993686410635,45,1,0,2013,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.227908773389032,40.110415565338698,46,1,0,2013,Cloudy/Overcast,Dusk,Dry,No Controls,Urbana,B-Injury
-88.183414950189544,40.130194179254531,47,1,0,2013,Clear,Darkness,Dry,No Controls,Unincorporated,C-Injury
-88.194564019436157,40.105687513365559,48,1,0,2013,Clear,Daylight,Dry,No Controls,Urbana,A-Injury
-88.262695761279943,40.125426820513454,49,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.257915846069238,40.122178936144302,50,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.23871574844074,40.110240965976942,51,1,0,2013,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.275975798472231,40.13211842803976,52,1,0,2013,Clear,Darkness,Dry,No Controls,Champaign,B-Injury
-88.276715772502953,40.110337509354146,53,1,0,2013,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.268915823603578,40.098228425686749,54,1,0,2013,Clear,Daylight,Dry,Traffic Signal,Champaign,C-Injury
-88.24353577708375,40.119937279147734,55,1,0,2013,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.265449568514754,40.09820009111953,56,1,0,2013,Rain,"Darkness, lighted road",Wet,No Controls,Champaign,A-Injury
-88.276993858514956,40.127250876896369,57,1,0,2014,Clear,Daylight,Wet,No Controls,Champaign,C-Injury
-88.2466756031654,40.097824456119973,58,1,0,2014,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.23680541445178,40.129527514332167,59,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.276517259690152,40.098267528186263,60,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.276715160074872,40.11033750466261,61,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.276895349815703,40.119697351455684,62,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.262005770578881,40.146487516775053,63,1,0,2014,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.269959323629593,40.130688121203967,64,2,0,2014,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.257985782484269,40.127178338088505,65,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Champaign,A-Injury
-88.277235775221712,40.139237514995088,66,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Champaign,A-Injury
-88.257985768375505,40.127177513175802,67,1,0,2014,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,C-Injury
-88.268905660881714,40.127335620667168,68,1,0,2014,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.230455869406228,40.110327412273762,69,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Champaign,C-Injury
-88.298115775957086,40.098527506100432,70,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,A-Injury
-88.309907231751524,40.113218196087814,71,1,0,2014,Clear,Daylight,Dry,Lane Use Marking,Unincorporated,B-Injury
-88.245235764126519,40.119112475878254,72,1,0,2014,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.223915892176549,40.110578151091062,73,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.232056216370495,40.110307495903449,74,0,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,Property Damage
-88.221465036869773,40.109088285854831,75,1,0,2014,Clear,Daylight,Dry,No Controls,Urbana,A-Injury
-88.233576158070647,40.110286063484978,76,1,0,2014,Rain,Darkness,Wet,Traffic Signal,Champaign,B-Injury
-88.24117494701774,40.116349308429385,77,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.222845711237852,40.099245934302388,78,1,0,2014,Clear,Unknown,Dry,No Controls,Urbana,C-Injury
-88.23333575741637,40.098097508474908,79,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.223995757205714,40.11281751221518,80,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.257845820219686,40.116328822397548,81,2,0,2014,Clear,Daylight,Dry,Traffic Signal,Champaign,B-Injury
-88.241504296312385,40.102707637562744,82,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,C-Injury
-88.195554577394276,40.098387557611325,83,1,0,2014,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.17680587262555,40.105747471313862,84,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,B-Injury
-88.190676192586196,40.094767508161489,85,1,0,2014,Rain,Daylight,Wet,Stop Sign/Flasher,Urbana,A-Injury
-88.176805782111245,40.105746565030046,86,1,0,2014,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.200105986533302,40.10161778980293,87,1,0,2014,Clear,Daylight,Dry,No Controls,Urbana,C-Injury
-88.194552477913348,40.110957718856056,88,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,C-Injury
-88.201884814595005,40.112834683225451,89,1,0,2014,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.219375741282761,40.115506100612933,90,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,C-Injury
-88.190658140810683,40.093867546554179,91,0,0,2014,Clear,Dusk,Wet,No Controls,Urbana,Property Damage
-88.136505745479354,40.316067388734538,92,1,0,2014,Clear,Daylight,Dry,Stop Sign/Flasher,Rantoul,B-Injury
-88.161192515280888,40.288002343487818,93,1,0,2014,Clear,Daylight,Dry,No Controls,Rantoul,B-Injury
-88.150643778742975,40.309571888760054,94,2,0,2014,Clear,Daylight,Dry,No Controls,Rantoul,C-Injury
-88.031314554087913,40.113900385886524,95,1,0,2014,Clear,Daylight,Dry,No Controls,St Joseph,B-Injury
-88.251425758997897,40.054497499829964,96,1,0,2014,Clear,Daylight,Dry,Traffic Signal,Savoy,A-Injury
-88.248065414629735,40.07609968904103,97,1,0,2014,Clear,Dusk,Dry,Traffic Signal,Savoy,B-Injury
-88.15574575477072,40.303617550029372,98,1,0,2012,Clear,Darkness,Dry,Other Regualtory Sig,Rantoul,B-Injury
-88.200162899659489,40.1419705332166,99,1,0,2012,Clear,Daylight,Dry,No Controls,Urbana,B-Injury
-88.295165775231794,40.083953734326229,100,1,0,2012,Clear,Daylight,Dry,Traffic Signal,Champaign,A-Injury
-88.219265755471582,40.107087510880127,101,1,0,2012,Clear,Daylight,Dry,No Controls,Urbana,C-Injury
-88.147214738533265,40.310667552608912,102,1,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Rantoul,B-Injury
-88.240115761879395,40.114607511570007,103,1,0,2012,Clear,Daylight,Dry,Lane Use Marking,Champaign,B-Injury
-88.219475748153457,40.123198865309256,104,1,0,2012,Clear,"Darkness, lighted road",Wet,No Controls,Urbana,B-Injury
-88.228934821235029,40.116407512029951,105,1,0,2012,Clear,Daylight,Dry,Traffic Signal,Champaign,C-Injury
-88.248672222705878,40.14184071362245,106,1,0,2012,Rain,"Darkness, lighted road",Wet,Lane Use Marking,Champaign,C-Injury
-88.223841685797694,40.104594698518824,107,1,0,2012,Snow,Daylight,Wet,No Controls,Urbana,C-Injury
-88.224135050492777,40.123137546173865,108,1,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,A-Injury
-88.25009576529591,40.118277512345401,109,1,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.261638524763441,39.990216360533097,110,1,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Tolono,C-Injury
-88.215995521453252,40.107468030319787,111,2,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,A-Injury
-88.17719332027913,40.134407518430336,112,1,0,2012,Clear,Daylight,Wet,No Controls,Unincorporated,B-Injury
-88.230378199650559,40.123117514678263,113,1,0,2012,Clear,Daylight,Dry,No Controls,Champaign,B-Injury
-88.217385297300297,40.116457514274813,114,1,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,A-Injury
-88.273235738934389,40.141610598628567,115,1,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Unincorporated,B-Injury
-88.219385966366517,40.112837669391411,116,1,0,2012,Clear,Daylight,Dry,Traffic Signal,Urbana,A-Injury
-88.212825770101716,40.116498245948868,117,1,0,2012,Clear,Daylight,Dry,Traffic Signal,Urbana,B-Injury
-88.203605751010187,40.118907513705935,118,1,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Urbana,B-Injury
-88.281326668498039,40.109267520054722,119,1,0,2012,Clear,Daylight,Dry,Stop Sign/Flasher,Champaign,B-Injury
-88.244593523699052,40.098101706775907,120,1,0,2012,Clear,"Darkness, lighted road",Dry,Traffic Signal,Champaign,B-Injury
-88.282834927652999,40.11282349917154,121,0,1,2012,Clear,"Darkness, lighted road",Dry,No Controls,Champaign,Fatal
-88.243565764258861,40.127207514164994,122,1,0,2012,Clear,Daylight,Dry,Traffic Signal,Champaign,C-Injury
